category,actors,active,u30,leader,leader_u30,leader_fail,leader_rating,leader_reviews,median_ppe_price,broken_u30
SOCIAL_MEDIA,3695,1603,431719,apify/instagram-scraper,42052,0.3,4.72,592,0.003,8882
LEAD_GENERATION,5485,1815,337524,compass/crawler-google-places,36146,2.7,4.7,1814,0.0025,11001
AUTOMATION,6045,1757,211054,harvestapi/linkedin-profile-scraper,9607,0.1,4.65,92,0.002,6591
AI,1631,542,109582,apify/rag-web-browser,30080,0.4,4.71,36,0.0025,1186
VIDEOS,920,372,106494,clockworks/tiktok-scraper,21222,4.2,4.76,371,0.0029,2247
DEVELOPER_TOOLS,3984,1105,100345,apify/website-content-crawler,10659,3.0,4.61,233,0.0025,2600
JOBS,1294,470,74050,curious_coder/linkedin-jobs-scraper,16983,0.8,4.59,140,0.002,3515
TRAVEL,566,163,59099,compass/crawler-google-places,36146,2.7,4.7,1814,0.0019,649
ECOMMERCE,2503,659,49991,apify/facebook-ads-scraper,5508,0.2,4.19,57,0.002,1457
SEO_TOOLS,1037,344,42328,apify/google-search-scraper,16605,0.6,4.65,218,0.0023,1903
OPEN_SOURCE,76,29,37547,apify/rag-web-browser,30080,0.4,4.71,36,0.002,770
AGENTS,898,302,21389,starvibe/youtube-video-transcript,2082,0.3,5,23,0.002,826
OTHER,1630,393,20767,extractify-labs/flashscore-tennis-matches,924,0.0,5,2,0.003,1122
NEWS,514,138,18108,trudax/reddit-scraper-lite,7341,11.2,4.57,39,0.002,1294
REAL_ESTATE,1238,289,16128,maxcopell/zillow-detail-scraper,985,0.7,4.34,18,0.002,293
MCP_SERVERS,460,180,11672,memo23/trustpilot-scraper-ppe,891,1.3,4.8,20,0.003,102
INTEGRATIONS,767,187,11090,lukaskrivka/google-sheets,754,53.4,4.81,7,0.003,1323
BUSINESS,652,139,5997,automation-lab/trustpilot,422,0.4,5,1,0.0035,104
MARKETING,352,108,5111,automation-lab/facebook-ads-library,339,1.6,4.46,3,0.003,154
SPORTS,54,21,720,memo23/mlb-stats-scraper,104,1.1,5,1,0.0013,0
FOR_CREATORS,60,5,219,thenetaji/youtube-video-downloader,54,13.1,3.75,16,0.002,0
EDUCATION,20,0,37,automation-lab/wikipedia-scraper,9,0.0,0,0,,0
GAMES,7,1,14,cryptosignals/twitch-scraper,10,0.7,0,0,0.01,0
