category,actors,active,u30,leader,leader_u30,leader_fail,leader_rating,leader_reviews,median_ppe_price,broken_u30
SOCIAL_MEDIA,3476,1539,445653,apify/instagram-scraper,43265,0.2,4.7,594,0.0029,9115
LEAD_GENERATION,5042,1739,351589,compass/crawler-google-places,37207,2.4,4.7,1816,0.002,9129
AUTOMATION,5559,1664,217114,apify/web-fetch,12146,7.3,5,3,0.002,6029
AI,1578,517,118772,apify/rag-web-browser,30957,1.7,4.71,36,0.0025,1026
DEVELOPER_TOOLS,3808,1050,109753,apify/web-fetch,12146,7.3,5,3,0.002,3105
VIDEOS,914,350,108783,clockworks/tiktok-scraper,23071,1.9,4.76,371,0.0026,1927
JOBS,1363,455,74565,curious_coder/linkedin-jobs-scraper,18034,0.8,4.59,142,0.0015,3213
TRAVEL,546,159,60345,compass/crawler-google-places,37207,2.4,4.7,1816,0.0015,1010
ECOMMERCE,2446,631,52343,apify/facebook-ads-scraper,5573,0.3,4.19,57,0.002,1705
SEO_TOOLS,1034,324,44057,apify/google-search-scraper,17682,0.5,4.65,219,0.002,1925
OPEN_SOURCE,67,25,39536,apify/rag-web-browser,30957,1.7,4.71,36,0.002,15
AGENTS,835,285,22579,starvibe/youtube-video-transcript,2242,0.3,5,23,0.002,851
OTHER,1553,354,20198,extractify-labs/flashscore-tennis-matches,889,0.0,5,2,0.003,1089
NEWS,537,129,18649,trudax/reddit-scraper-lite,7412,10.2,4.57,39,0.0022,1513
REAL_ESTATE,1196,262,15779,maxcopell/zillow-detail-scraper,1015,1.2,4.34,18,0.0019,152
MCP_SERVERS,426,182,12284,dev00/synthid-remover,802,3.3,0,0,0.003,83
INTEGRATIONS,723,176,9837,scrapesage/google-ads-transparency-scraper,588,0.0,5,1,0.003,477
BUSINESS,651,141,6402,automation-lab/trustpilot,453,0.3,5,1,0.0035,161
MARKETING,379,130,6319,automation-lab/facebook-ads-library,397,1.5,4.46,3,0.0025,310
SPORTS,46,22,677,memo23/mlb-stats-scraper,109,1.1,5,1,0.0011,10
FOR_CREATORS,30,7,312,toolzerhub/douyin-video-search-scraper,100,2.6,0,0,0.004,0
EDUCATION,16,0,33,automation-lab/wikipedia-scraper,7,0.0,0,0,,0
GAMES,5,1,15,cryptosignals/twitch-scraper,12,0.0,0,0,0.01,0
